0,1,2,3,4,5,6,7,8,9,label
59.0,52.0,38.0,88.0,16.0,87.0,16.0,47.0,51.0,46.0,false
46.0,52.0,38.0,89.0,16.0,87.0,16.0,52.0,51.0,46.0,false
46.0,69.0,85.0,100.0,0.0,106.0,0.0,61.0,53.0,46.0,false
46.0,52.0,38.0,88.0,16.0,87.0,16.0,49.0,51.0,46.0,false
46.0,34.0,85.0,23.0,78.0,25.0,78.0,26.0,52.0,46.0,false
46.0,34.0,85.0,23.0,78.0,25.0,78.0,26.0,52.0,46.0,false
46.0,53.0,67.0,15.0,87.0,16.0,87.0,57.0,51.0,59.0,false
59.0,34.0,85.0,23.0,78.0,25.0,78.0,53.0,51.0,46.0,false
46.0,69.0,18.0,81.0,26.0,80.0,28.0,61.0,63.0,75.0,false
79.0,59.0,125.0,69.0,101.0,115.0,103.0,128.0,134.0,136.0,false
136.0,147.0,151.0,82.0,196.0,0.0,292.0,142.0,142.0,143.0,true
146.0,148.0,145.0,112.0,208.0,78.0,199.0,124.0,134.0,133.0,true
131.0,133.0,99.0,154.0,127.0,133.0,129.0,132.0,131.0,129.0,true
130.0,136.0,134.0,106.0,185.0,76.0,186.0,107.0,127.0,125.0,true
127.0,131.0,131.0,60.0,189.0,93.0,260.0,0.0,119.0,116.0,true
113.0,141.0,158.0,190.0,22.0,204.0,0.0,197.0,97.0,96.0,true
95.0,109.0,127.0,53.0,125.0,65.0,124.0,64.0,94.0,104.0,true
104.0,80.0,135.0,75.0,101.0,87.0,100.0,87.0,92.0,92.0,true
93.0,90.0,62.0,134.0,61.0,123.0,62.0,94.0,93.0,92.0,true
92.0,105.0,61.0,134.0,61.0,124.0,68.0,102.0,94.0,91.0,true
91.0,113.0,133.0,167.0,0.0,180.0,0.0,118.0,88.0,87.0,true
88.0,98.0,58.0,132.0,62.0,126.0,81.0,114.0,102.0,101.0,true
100.0,96.0,117.0,169.0,0.0,190.0,0.0,116.0,90.0,98.0,true
96.0,69.0,125.0,59.0,99.0,74.0,100.0,86.0,97.0,101.0,true
104.0,107.0,91.0,47.0,231.0,22.0,260.0,80.0,151.0,144.0,true
135.0,122.0,137.0,57.0,156.0,74.0,155.0,97.0,107.0,119.0,false
133.0,103.0,56.0,12.0,182.0,0.0,172.0,46.0,81.0,93.0,false
96.0,89.0,108.0,134.0,21.0,138.0,21.0,109.0,74.0,81.0,false
83.0,83.0,51.0,80.0,79.0,73.0,76.0,74.0,76.0,71.0,false
71.0,71.0,100.0,30.0,115.0,36.0,115.0,55.0,73.0,83.0,false
83.0,69.0,99.0,29.0,114.0,33.0,113.0,47.0,73.0,82.0,false
82.0,69.0,50.0,29.0,130.0,21.0,129.0,51.0,75.0,72.0,false
71.0,56.0,113.0,45.0,95.0,50.0,95.0,60.0,73.0,70.0,false
70.0,68.0,48.0,80.0,80.0,73.0,86.0,75.0,77.0,73.0,false
