0,1,2,3,4,5,6,7,8,9,label
56.0,50.0,26.0,5.0,98.0,0.0,99.0,5.0,49.0,42.0,false
42.0,50.0,36.0,83.0,14.0,82.0,14.0,38.0,48.0,42.0,false
42.0,49.0,36.0,83.0,14.0,82.0,14.0,43.0,48.0,42.0,false
41.0,64.0,16.0,75.0,22.0,74.0,22.0,73.0,48.0,55.0,false
55.0,64.0,16.0,75.0,22.0,73.0,22.0,73.0,47.0,55.0,false
55.0,48.0,26.0,64.0,34.0,62.0,34.0,61.0,47.0,41.0,false
41.0,31.0,79.0,20.0,73.0,22.0,73.0,45.0,47.0,41.0,false
41.0,48.0,36.0,82.0,14.0,81.0,14.0,81.0,47.0,41.0,false
41.0,48.0,26.0,64.0,34.0,61.0,34.0,47.0,47.0,41.0,false
41.0,48.0,36.0,82.0,14.0,81.0,14.0,40.0,47.0,41.0,false
41.0,64.0,78.0,92.0,0.0,97.0,0.0,45.0,48.0,41.0,false
41.0,64.0,78.0,92.0,0.0,97.0,0.0,51.0,49.0,41.0,false
41.0,31.0,39.0,8.0,86.0,8.0,96.0,0.0,48.0,54.0,false
54.0,48.0,60.0,13.0,80.0,14.0,80.0,48.0,47.0,54.0,false
54.0,64.0,16.0,74.0,21.0,73.0,22.0,50.0,48.0,54.0,false
54.0,30.0,78.0,20.0,73.0,22.0,73.0,40.0,47.0,41.0,false
41.0,48.0,69.0,90.0,0.0,96.0,0.0,94.0,48.0,54.0,false
54.0,48.0,60.0,12.0,80.0,13.0,80.0,28.0,46.0,54.0,false
54.0,48.0,69.0,31.0,61.0,33.0,61.0,38.0,47.0,54.0,false
54.0,48.0,25.0,63.0,33.0,61.0,33.0,61.0,47.0,41.0,false
40.0,48.0,35.0,81.0,13.0,80.0,13.0,80.0,47.0,41.0,false
40.0,48.0,25.0,63.0,33.0,61.0,33.0,57.0,47.0,40.0,false
40.0,47.0,35.0,81.0,13.0,80.0,13.0,80.0,47.0,40.0,false
40.0,30.0,55.0,86.0,8.0,96.0,0.0,46.0,48.0,40.0,false
40.0,48.0,68.0,89.0,5.0,89.0,5.0,51.0,47.0,54.0,false
54.0,48.0,35.0,81.0,13.0,80.0,13.0,79.0,47.0,40.0,false
40.0,47.0,25.0,4.0,89.0,5.0,96.0,55.0,48.0,40.0,false
40.0,30.0,77.0,20.0,72.0,21.0,72.0,22.0,47.0,40.0,false
40.0,48.0,35.0,81.0,13.0,80.0,13.0,50.0,47.0,40.0,false
40.0,47.0,25.0,62.0,32.0,60.0,32.0,50.0,47.0,40.0,false
40.0,63.0,16.0,2.0,95.0,0.0,95.0,0.0,48.0,54.0,false
53.0,62.0,54.0,84.0,8.0,84.0,8.0,84.0,46.0,40.0,false
40.0,47.0,24.0,62.0,32.0,60.0,32.0,55.0,46.0,40.0,false
